timestamp,filename,out_path,vertices,angle_deg,curvature_level,orientation_deg,smooth_strength,img_size,stroke,margin
2026-01-12T16:21:24,stim_nv1_ang90_s0.8_rot+180.png,MainExp/images/stim_nv1_ang90_s0.8_rot+180.png,1,90,90,1,180,0.8,512,9,40
2026-01-12T16:21:24,stim_nv1_ang90_s0.8_rot-045.png,MainExp/images/stim_nv1_ang90_s0.8_rot-045.png,1,90,90,1,-45,0.8,512,9,40
2026-01-12T16:21:25,stim_nv1_ang90_s0.8_rot-090.png,MainExp/images/stim_nv1_ang90_s0.8_rot-090.png,1,90,90,1,-90,0.8,512,9,40
2026-01-12T16:21:25,stim_nv1_ang90_s0.8_rot-135.png,MainExp/images/stim_nv1_ang90_s0.8_rot-135.png,1,90,90,1,-135,0.8,512,9,40
2026-01-12T16:21:25,stim_nv1_ang90_s1.4_rot+000.png,MainExp/images/stim_nv1_ang90_s1.4_rot+000.png,1,90,90,2,0,1.4,512,9,40
2026-01-12T16:21:25,stim_nv1_ang90_s1.4_rot+045.png,MainExp/images/stim_nv1_ang90_s1.4_rot+045.png,1,90,90,2,45,1.4,512,9,40
2026-01-12T16:21:25,stim_nv1_ang90_s1.4_rot+090.png,MainExp/images/stim_nv1_ang90_s1.4_rot+090.png,1,90,90,2,90,1.4,512,9,40
2026-01-12T16:21:26,stim_nv1_ang90_s1.4_rot+135.png,MainExp/images/stim_nv1_ang90_s1.4_rot+135.png,1,90,90,2,135,1.4,512,9,40
2026-01-12T16:21:26,stim_nv1_ang90_s1.4_rot+180.png,MainExp/images/stim_nv1_ang90_s1.4_rot+180.png,1,90,90,2,180,1.4,512,9,40
2026-01-12T16:21:26,stim_nv1_ang90_s1.4_rot-045.png,MainExp/images/stim_nv1_ang90_s1.4_rot-045.png,1,90,90,2,-45,1.4,512,9,40
2026-01-12T16:21:26,stim_nv1_ang90_s1.4_rot-090.png,MainExp/images/stim_nv1_ang90_s1.4_rot-090.png,1,90,90,2,-90,1.4,512,9,40
2026-01-12T16:21:27,stim_nv1_ang90_s1.4_rot-135.png,MainExp/images/stim_nv1_ang90_s1.4_rot-135.png,1,90,90,2,-135,1.4,512,9,40
2026-01-12T16:21:27,stim_nv1_ang135_s0.0_rot+000.png,MainExp/images/stim_nv1_ang135_s0.0_rot+000.png,1,135,135,0,0,0.0,512,9,40
2026-01-12T16:21:27,stim_nv1_ang135_s0.0_rot+045.png,MainExp/images/stim_nv1_ang135_s0.0_rot+045.png,1,135,135,0,45,0.0,512,9,40
2026-01-12T16:21:27,stim_nv1_ang135_s0.0_rot+090.png,MainExp/images/stim_nv1_ang135_s0.0_rot+090.png,1,135,135,0,90,0.0,512,9,40
2026-01-12T16:21:27,stim_nv1_ang135_s0.0_rot+135.png,MainExp/images/stim_nv1_ang135_s0.0_rot+135.png,1,135,135,0,135,0.0,512,9,40
2026-01-12T16:21:27,stim_nv1_ang135_s0.0_rot+180.png,MainExp/images/stim_nv1_ang135_s0.0_rot+180.png,1,135,135,0,180,0.0,512,9,40
2026-01-12T16:21:28,stim_nv1_ang135_s0.0_rot-045.png,MainExp/images/stim_nv1_ang135_s0.0_rot-045.png,1,135,135,0,-45,0.0,512,9,40
2026-01-12T16:21:28,stim_nv1_ang135_s0.0_rot-090.png,MainExp/images/stim_nv1_ang135_s0.0_rot-090.png,1,135,135,0,-90,0.0,512,9,40
2026-01-12T16:21:28,stim_nv1_ang135_s0.0_rot-135.png,MainExp/images/stim_nv1_ang135_s0.0_rot-135.png,1,135,135,0,-135,0.0,512,9,40
2026-01-12T16:21:28,stim_nv1_ang135_s0.8_rot+000.png,MainExp/images/stim_nv1_ang135_s0.8_rot+000.png,1,135,135,1,0,0.8,512,9,40
2026-01-12T16:21:28,stim_nv1_ang135_s0.8_rot+045.png,MainExp/images/stim_nv1_ang135_s0.8_rot+045.png,1,135,135,1,45,0.8,512,9,40
2026-01-12T16:21:29,stim_nv1_ang135_s0.8_rot+090.png,MainExp/images/stim_nv1_ang135_s0.8_rot+090.png,1,135,135,1,90,0.8,512,9,40
2026-01-12T16:21:29,stim_nv1_ang135_s0.8_rot+135.png,MainExp/images/stim_nv1_ang135_s0.8_rot+135.png,1,135,135,1,135,0.8,512,9,40
2026-01-12T16:21:29,stim_nv1_ang135_s0.8_rot+180.png,MainExp/images/stim_nv1_ang135_s0.8_rot+180.png,1,135,135,1,180,0.8,512,9,40
2026-01-12T16:21:29,stim_nv1_ang135_s0.8_rot-045.png,MainExp/images/stim_nv1_ang135_s0.8_rot-045.png,1,135,135,1,-45,0.8,512,9,40
2026-01-12T16:21:29,stim_nv1_ang135_s0.8_rot-090.png,MainExp/images/stim_nv1_ang135_s0.8_rot-090.png,1,135,135,1,-90,0.8,512,9,40
2026-01-12T16:21:30,stim_nv1_ang135_s0.8_rot-135.png,MainExp/images/stim_nv1_ang135_s0.8_rot-135.png,1,135,135,1,-135,0.8,512,9,40
