"trial_type","trial_index","plugin_version","time_elapsed","participant","expType","experiment_seed","total_experiment_time","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_s","chosen_rot","chosen_curv","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","838","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","983","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","1980","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","1631","868","true","edge-chromium","144.0.0","false","Windows 10","true","60.39","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","2996","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","1631","868","true","edge-chromium","144.0.0","false","Windows 10","true","60.57","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","4350","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","1352","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","6975","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","true","","","","","","","","","","","","","","","","1616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","9441","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","2462","","{""Age"":""20""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","11821","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","2375","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","55351","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","","","","","","497","1.1327635327635328","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","105412","66724","noInstr","781667225","0.007","20","Female","Yes, informal or self-taught experience","I found that majority of the time I chose based on the height of the peaks. I also would take into account the numbers then lastly pick based on the sharpness versus smoothness. I tried to take a quick glance at the start to see which stood out the most to me, then take a little longer to try and identify my reasoning for choosing that one. ","","","","","","","","","","","","","","","","","50059","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
