"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_seed","total_experiment_time","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_s","chosen_rot","chosen_curv","correct","block_failed","blocks_failed_total"
"html-button-response","10","2.1.0","113381","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","12914","
    <div style=""width:800px;"">
      <p>On each trial, you will see three shapes. You will do <b>9 blocks</b> in total.</p>
      <p>Your task is to select the shape that is the <b>odd-one-out</b>.</p>
      <p>Please focus on the <b>how curvy the shapes are</b> when deciding which one is most different from the other two.</p>
      <p>There is no strictly correct answer, we are interested in your intuitive judgment.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","2.1.0","159265","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","45883","
    <div style=""width:800px;"">
      <p>However, there are also <b>attention check trials</b>.</p>
      <p>On these trials, there is <b>exactly one correct odd-one-out</b> (two shapes are identical, and the third looks similar).</p>
      <ul>
        <p>There are several attention check trials in every block</p>
        <p>You must answer at least <b>75%</b> of these correctly in a block to successfully pass that block.</p>
        <p>If you fail <b>3 or more blocks</b>, your data may be <b>rejected</b>, and you may choose to stop the experiment at any time.</p>
      </ul>
      <p>After each block, you will see feedback indicating whether you passed that block.</p>
      <p>Here is an <b>example attention check triplet</b>:</p>
      
  <div style=""display:flex; justify-content:center; gap:20px; margin-top:15px;"">
    <img class=""ooo-img"" src=""images/stim_nv2_ang135_s1.4_rot+045.png""><img class=""ooo-img"" src=""images/stim_nv2_ang135_s1.4_rot+045.png""><img class=""ooo-img"" src=""images/stim_nv2_ang135_s0.8_rot+045.png"">
  </div>

    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","12","2.1.0","168698","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","9431","
    <div style=""width:800px;"">
      <p>You will now complete <b>8 practice trials</b>:</p>
      <ul>
        <p><b>5 practice trials</b> with <b>no obvious correct answer</b>.</p>
        <p><b>3 practice trials</b> that are <b>attention checks</b> with a clearly correct odd-one-out.</p>
      </ul>
      <p>On attention check practice trials, you will be told that it is an attention check.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","13","2.1.0","171232","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","2531","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        <p style=""color:#b00;""><b>This is an attention check practice trial.</b></p>
      </div>","1","","","","","practice","0","1","1","practice_catch","3-2-2","+045","[24,24,24]","[{""id"":24,""curv"":2,""nv"":3,""ang"":45},{""id"":24,""curv"":2,""nv"":3,""ang"":45},{""id"":24,""curv"":0,""nv"":3,""ang"":45}]","images/stim_nv3_ang45_s1.4_rot+045.png","images/stim_nv3_ang45_s0.0_rot+045.png","images/stim_nv3_ang45_s1.4_rot+045.png","true","true","1","1","1","images/stim_nv3_ang45_s0.0_rot+045.png","3","45","0","+045","0","true","",""
"html-button-response","16","2.1.0","175248","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","4013","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","2","","","","","practice","0","2","2","practice_ambiguous","1/1/0","+135","[3,23,25]","[{""id"":3,""curv"":0,""nv"":2,""ang"":45},{""id"":23,""curv"":2,""nv"":2,""ang"":135},{""id"":25,""curv"":2,""nv"":3,""ang"":90}]","images/stim_nv2_ang135_s1.4_rot+135.png","images/stim_nv3_ang90_s1.4_rot+135.png","images/stim_nv2_ang45_s0.0_rot+135.png","true","false","null","null","2","images/stim_nv2_ang45_s0.0_rot+135.png","2","45","0","+135","0","null","",""
"html-button-response","18","2.1.0","178648","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","3398","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        <p style=""color:#b00;""><b>This is an attention check practice trial.</b></p>
      </div>","1","","","","","practice","0","3","3","practice_catch","3-2-2","+045","[11,11,11]","[{""id"":11,""curv"":1,""nv"":1,""ang"":135},{""id"":11,""curv"":1,""nv"":1,""ang"":135},{""id"":11,""curv"":1,""nv"":1,""ang"":45}]","images/stim_nv1_ang135_s0.8_rot+045.png","images/stim_nv1_ang45_s0.8_rot+045.png","images/stim_nv1_ang135_s0.8_rot+045.png","true","true","1","1","1","images/stim_nv1_ang45_s0.8_rot+045.png","1","45","0.8","+045","1","true","",""
"html-button-response","21","2.1.0","185698","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","7048","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","0","","","","","practice","0","4","4","practice_ambiguous","1/1/0","+090","[8,15,18]","[{""id"":8,""curv"":0,""nv"":3,""ang"":135},{""id"":15,""curv"":1,""nv"":3,""ang"":45},{""id"":18,""curv"":2,""nv"":1,""ang"":45}]","images/stim_nv1_ang45_s1.4_rot+090.png","images/stim_nv3_ang45_s0.8_rot+090.png","images/stim_nv3_ang135_s0.0_rot+090.png","true","false","null","null","0","images/stim_nv1_ang45_s1.4_rot+090.png","1","45","1.4","+090","2","null","",""
"html-button-response","23","2.1.0","189598","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","3898","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","0","","","","","practice","0","5","5","practice_ambiguous","1/1/0","+180","[0,12,16]","[{""id"":0,""curv"":0,""nv"":1,""ang"":45},{""id"":12,""curv"":1,""nv"":2,""ang"":45},{""id"":16,""curv"":1,""nv"":3,""ang"":90}]","images/stim_nv1_ang45_s0.0_rot+180.png","images/stim_nv3_ang90_s0.8_rot+180.png","images/stim_nv2_ang45_s0.8_rot+180.png","true","false","null","null","0","images/stim_nv1_ang45_s0.0_rot+180.png","1","45","0","+180","0","null","",""
"html-button-response","25","2.1.0","192514","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","2914","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","1","","","","","practice","0","6","6","practice_ambiguous","1/1/0","+045","[7,10,20]","[{""id"":7,""curv"":0,""nv"":3,""ang"":90},{""id"":10,""curv"":1,""nv"":1,""ang"":90},{""id"":20,""curv"":2,""nv"":1,""ang"":135}]","images/stim_nv1_ang135_s1.4_rot+045.png","images/stim_nv3_ang90_s0.0_rot+045.png","images/stim_nv1_ang90_s0.8_rot+045.png","true","false","null","null","1","images/stim_nv3_ang90_s0.0_rot+045.png","3","90","0","+045","0","null","",""
"html-button-response","27","2.1.0","219748","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","27232","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        <p style=""color:#b00;""><b>This is an attention check practice trial.</b></p>
      </div>","0","","","","","practice","0","7","7","practice_catch","3-2-2","+045","[23,23,23]","[{""id"":23,""curv"":2,""nv"":2,""ang"":135},{""id"":23,""curv"":2,""nv"":2,""ang"":135},{""id"":23,""curv"":1,""nv"":2,""ang"":135}]","images/stim_nv2_ang135_s0.8_rot+045.png","images/stim_nv2_ang135_s1.4_rot+045.png","images/stim_nv2_ang135_s1.4_rot+045.png","true","true","0","0","0","images/stim_nv2_ang135_s0.8_rot+045.png","2","135","0.8","+045","1","true","",""
"html-button-response","30","2.1.0","222131","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","2381","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","2","","","","","practice","0","8","8","practice_ambiguous","1/1/0","+180","[14,18,26]","[{""id"":14,""curv"":1,""nv"":2,""ang"":135},{""id"":18,""curv"":2,""nv"":1,""ang"":45},{""id"":26,""curv"":2,""nv"":3,""ang"":135}]","images/stim_nv2_ang135_s0.8_rot+180.png","images/stim_nv3_ang135_s1.4_rot+180.png","images/stim_nv1_ang45_s1.4_rot+180.png","true","false","null","null","2","images/stim_nv1_ang45_s1.4_rot+180.png","1","45","1.4","+180","2","null","",""
"html-button-response","32","2.1.0","235830","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","13697","<p>Practice is complete.</p>
            <p>When you are ready, click below to start the main experiment.</p>
            <p>The main task has <b>9 blocks</b>. You can take short breaks between blocks.</p>
            <p>On all trials, please respond thoughtfully and <b>pick the odd-one-out based on curvature.</b></p>
            <p>If you respond too fast, you will see a warning screen.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","33","2.1.0","239314","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","3482","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","1","","","","","block_1","1","1","9","exp_221","2-2-1","-090","[16,25,26]","[{""id"":16,""curv"":1,""nv"":3,""ang"":90},{""id"":25,""curv"":2,""nv"":3,""ang"":90},{""id"":26,""curv"":2,""nv"":3,""ang"":135}]","images/stim_nv3_ang90_s0.8_rot-090.png","images/stim_nv3_ang135_s1.4_rot-090.png","images/stim_nv3_ang90_s1.4_rot-090.png","false","false","null","null","1","images/stim_nv3_ang135_s1.4_rot-090.png","3","135","1.4","-090","2","null","",""
"html-button-response","35","2.1.0","242747","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","3431","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","0","","","","","block_1","1","2","10","exp_111","1-1-1","+180","[17,23,24]","[{""id"":17,""curv"":1,""nv"":3,""ang"":135},{""id"":23,""curv"":2,""nv"":2,""ang"":135},{""id"":24,""curv"":2,""nv"":3,""ang"":45}]","images/stim_nv3_ang45_s1.4_rot+180.png","images/stim_nv2_ang135_s1.4_rot+180.png","images/stim_nv3_ang135_s0.8_rot+180.png","false","false","null","null","0","images/stim_nv3_ang45_s1.4_rot+180.png","3","45","1.4","+180","2","null","",""
"html-button-response","37","2.1.0","247781","67438","159566359","8","18","Male","No experience","If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.","","","","","","","","","","","","","","","","","5031","
      <div style=""text-align:center;"">
        <p><b>Which one is the odd one out?</b></p>
        
      </div>","2","","","","","block_1","1","3","11","catch","3-2-2","-045","[24,24,24]","[{""id"":24,""curv"":2,""nv"":3,""ang"":45},{""id"":24,""curv"":2,""nv"":3,""ang"":45},{""id"":24,""curv"":0,""nv"":3,""ang"":45}]","images/stim_nv3_ang45_s1.4_rot-045.png","images/stim_nv3_ang45_s1.4_rot-045.png","images/stim_nv3_ang45_s0.0_rot-045.png","false","true","2","2","2","images/stim_nv3_ang45_s0.0_rot-045.png","3","45","0","-045","0","true","",""
