"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_seed","total_experiment_time","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_s","chosen_rot","chosen_curv","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1130","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2224","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","4386","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","1322","753","true","safari","18.6.0","false","Mac OS","true","27.84","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","5403","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","1322","753","true","safari","18.6.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","7938","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","2533","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","10509","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","true","","","","","","","","","","","","","","","","1566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","15338","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","4812","","{""Age"":""18""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","18140","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","2799","","{""Sex"":""Female""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","67406","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","","","","","","432","0.9846153846153847","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","100686","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","33279","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","2.1.0","109854","69571","521406761","7","18","Female","Limited, occasional experience","if line was pointed or curved 
","","","","","","","","","","","","","","","","","9167","
    <div style=""width:800px;"">
      <p>On each trial, you will see three shapes. You will do <b>9 blocks</b> in total.</p>
      <p>Your task is to select the shape that is the <b>odd-one-out</b>.</p>
      <p>Please focus on the <b>how curvy the shapes are</b> when deciding which one is most different from the other two.</p>
      <p>There is no strictly correct answer, we are interested in your intuitive judgment.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
