fname,shape_family,range_px,N,rep,curv_level,base_R,angle_jitter_deg,win,passes,perimeter_px,area_px2,curv_energy,mean_abs_kappa,max_abs_kappa,canvas_px,margin_px,line_width_px,seed_like,engine
images/circle_rng12_N9_curv0_seed13.png,circle,12,9,1,curv0,100,2.0,0,0,3067.587,644159.329,9.870956,0.002667,1.989174,1200,60,8,13,circle+moving_avg
images/circle_rng12_N9_curv1_seed13.png,circle,12,9,1,curv1,100,2.0,44,2,3081.704,665214.433,0.144510,0.002334,0.044821,1200,60,8,13,circle+moving_avg
images/circle_rng12_N9_curv2_seed13.png,circle,12,9,1,curv2,100,2.0,80,5,3108.839,701960.470,0.050438,0.002261,0.014499,1200,60,8,13,circle+moving_avg
images/circle_rng25_N9_curv0_seed13.png,circle,25,9,1,curv0,100,2.0,0,0,2805.903,505134.261,10.805963,0.003353,2.273335,1200,60,8,13,circle+moving_avg
images/circle_rng25_N9_curv1_seed13.png,circle,25,9,1,curv1,100,2.0,44,2,2819.540,524021.855,0.219080,0.003057,0.111447,1200,60,8,13,circle+moving_avg
images/circle_rng25_N9_curv2_seed13.png,circle,25,9,1,curv2,100,2.0,80,5,2845.766,557912.290,0.075960,0.002946,0.036095,1200,60,8,13,circle+moving_avg
images/circle_rng45_N9_curv0_seed13.png,circle,45,9,1,curv0,100,2.0,0,0,2793.876,237224.417,531.680325,0.014319,18.834338,1200,60,8,13,circle+moving_avg
images/circle_rng45_N9_curv1_seed13.png,circle,45,9,1,curv1,100,2.0,44,2,2775.012,247921.586,1.614636,0.007470,0.484877,1200,60,8,13,circle+moving_avg
images/circle_rng45_N9_curv2_seed13.png,circle,45,9,1,curv2,100,2.0,80,5,2737.387,268832.722,0.544058,0.007065,0.155211,1200,60,8,13,circle+moving_avg
images/circle_rng12_N18_curv0_seed13.png,circle,12,18,1,curv0,100,2.0,0,0,3368.023,704707.659,19.573194,0.005153,2.425250,1200,60,8,13,circle+moving_avg
images/circle_rng12_N18_curv1_seed13.png,circle,12,18,1,curv1,100,2.0,44,2,3339.284,724613.216,0.236381,0.004471,0.053652,1200,60,8,13,circle+moving_avg
images/circle_rng12_N18_curv2_seed13.png,circle,12,18,1,curv2,100,2.0,80,5,3255.863,744612.689,0.080533,0.003945,0.017497,1200,60,8,13,circle+moving_avg
images/circle_rng25_N18_curv0_seed13.png,circle,25,18,1,curv0,100,2.0,0,0,3724.178,511917.801,71.706166,0.009399,5.391871,1200,60,8,13,circle+moving_avg
images/circle_rng25_N18_curv1_seed13.png,circle,25,18,1,curv1,100,2.0,44,2,3555.209,514430.143,0.992497,0.008019,0.224798,1200,60,8,13,circle+moving_avg
images/circle_rng25_N18_curv2_seed13.png,circle,25,18,1,curv2,100,2.0,80,5,3249.180,517324.483,0.347132,0.007292,0.075013,1200,60,8,13,circle+moving_avg
images/circle_rng45_N18_curv0_seed13.png,circle,45,18,1,curv0,100,2.0,0,0,4005.142,366253.717,1328.715689,0.017006,31.068500,1200,60,8,13,circle+moving_avg
images/circle_rng45_N18_curv1_seed13.png,circle,45,18,1,curv1,100,2.0,44,2,3825.397,367007.537,1.697202,0.008110,0.953490,1200,60,8,13,circle+moving_avg
images/circle_rng45_N18_curv2_seed13.png,circle,45,18,1,curv2,100,2.0,80,5,3503.316,365778.553,0.592771,0.007811,0.316359,1200,60,8,13,circle+moving_avg
images/circle_rng12_N27_curv0_seed13.png,circle,12,27,1,curv0,100,2.0,0,0,3703.552,720423.137,25.251126,0.007939,2.410954,1200,60,8,13,circle+moving_avg
images/circle_rng12_N27_curv1_seed13.png,circle,12,27,1,curv1,100,2.0,44,2,3557.623,722065.059,0.449886,0.007305,0.093905,1200,60,8,13,circle+moving_avg
images/circle_rng12_N27_curv2_seed13.png,circle,12,27,1,curv2,100,2.0,80,5,3338.327,741570.834,0.148247,0.005508,0.029514,1200,60,8,13,circle+moving_avg
images/circle_rng25_N27_curv0_seed13.png,circle,25,27,1,curv0,100,2.0,0,0,4338.787,555247.127,37.016084,0.009367,2.119333,1200,60,8,13,circle+moving_avg
images/circle_rng25_N27_curv1_seed13.png,circle,25,27,1,curv1,100,2.0,44,2,4119.952,569469.354,0.603471,0.008163,0.077871,1200,60,8,13,circle+moving_avg
images/circle_rng25_N27_curv2_seed13.png,circle,25,27,1,curv2,100,2.0,80,5,3656.953,583260.323,0.257522,0.007324,0.025393,1200,60,8,13,circle+moving_avg
images/circle_rng45_N27_curv0_seed13.png,circle,45,27,1,curv0,100,2.0,0,0,5543.137,361243.054,109.612380,0.012002,6.835965,1200,60,8,13,circle+moving_avg
images/circle_rng45_N27_curv1_seed13.png,circle,45,27,1,curv1,100,2.0,44,2,5119.260,380252.784,5.820314,0.015065,1.330713,1200,60,8,13,circle+moving_avg
images/circle_rng45_N27_curv2_seed13.png,circle,45,27,1,curv2,100,2.0,80,5,4183.689,417476.616,1.968569,0.014538,0.436226,1200,60,8,13,circle+moving_avg
