fname,shape_family,range_px,N,rep,curv_level,base_R,angle_jitter_deg,win,passes,perimeter_px,area_px2,curv_energy,mean_abs_kappa,max_abs_kappa,canvas_px,margin_px,line_width_px,seed_like,engine
images/circle_rng12_N9_curv0_seed9.png,circle,12,9,1,curv0,100,2.0,0,0,3160.053,722767.014,5.414984,0.002291,1.287589,1200,60,8,9,circle+moving_avg
images/circle_rng12_N9_curv1_seed9.png,circle,12,9,1,curv1,100,2.0,44,2,3171.181,740542.389,0.090458,0.002117,0.028686,1200,60,8,9,circle+moving_avg
images/circle_rng12_N9_curv2_seed9.png,circle,12,9,1,curv2,100,2.0,80,5,3192.669,769496.433,0.031772,0.002067,0.009385,1200,60,8,9,circle+moving_avg
images/circle_rng25_N9_curv0_seed9.png,circle,25,9,1,curv0,100,2.0,0,0,2905.656,483426.465,19.676273,0.003996,3.019332,1200,60,8,9,circle+moving_avg
images/circle_rng25_N9_curv1_seed9.png,circle,25,9,1,curv1,100,2.0,44,2,2915.198,503624.528,0.296152,0.003513,0.111832,1200,60,8,9,circle+moving_avg
images/circle_rng25_N9_curv2_seed9.png,circle,25,9,1,curv2,100,2.0,80,5,2934.692,541276.638,0.102217,0.003373,0.036057,1200,60,8,9,circle+moving_avg
images/circle_rng45_N9_curv0_seed9.png,circle,45,9,1,curv0,100,2.0,0,0,2421.429,212908.852,159.827603,0.008446,13.101541,1200,60,8,9,circle+moving_avg
images/circle_rng45_N9_curv1_seed9.png,circle,45,9,1,curv1,100,2.0,44,2,2421.575,221770.066,1.417786,0.006512,0.612323,1200,60,8,9,circle+moving_avg
images/circle_rng45_N9_curv2_seed9.png,circle,45,9,1,curv2,100,2.0,80,5,2422.362,238373.718,0.477963,0.006154,0.197667,1200,60,8,9,circle+moving_avg
images/circle_rng12_N18_curv0_seed9.png,circle,12,18,1,curv0,100,2.0,0,0,3352.641,711126.614,11.104646,0.004719,1.771544,1200,60,8,9,circle+moving_avg
images/circle_rng12_N18_curv1_seed9.png,circle,12,18,1,curv1,100,2.0,44,2,3317.855,725122.111,0.200542,0.004396,0.051947,1200,60,8,9,circle+moving_avg
images/circle_rng12_N18_curv2_seed9.png,circle,12,18,1,curv2,100,2.0,80,5,3234.651,738527.127,0.069667,0.003874,0.017115,1200,60,8,9,circle+moving_avg
images/circle_rng25_N18_curv0_seed9.png,circle,25,18,1,curv0,100,2.0,0,0,3825.126,533960.364,188.576925,0.012315,7.858085,1200,60,8,9,circle+moving_avg
images/circle_rng25_N18_curv1_seed9.png,circle,25,18,1,curv1,100,2.0,44,2,3740.042,569181.046,0.928388,0.008057,0.169088,1200,60,8,9,circle+moving_avg
images/circle_rng25_N18_curv2_seed9.png,circle,25,18,1,curv2,100,2.0,80,5,3566.786,640977.156,0.310533,0.007055,0.052917,1200,60,8,9,circle+moving_avg
images/circle_rng45_N18_curv0_seed9.png,circle,45,18,1,curv0,100,2.0,0,0,4737.499,455385.076,1361.830823,0.017921,28.546423,1200,60,8,9,circle+moving_avg
images/circle_rng45_N18_curv1_seed9.png,circle,45,18,1,curv1,100,2.0,44,2,4516.560,478362.006,2.458007,0.010081,0.741241,1200,60,8,9,circle+moving_avg
images/circle_rng45_N18_curv2_seed9.png,circle,45,18,1,curv2,100,2.0,80,5,4002.002,501054.915,0.833559,0.009644,0.244902,1200,60,8,9,circle+moving_avg
images/circle_rng12_N27_curv0_seed9.png,circle,12,27,1,curv0,100,2.0,0,0,3577.582,704454.352,19.103756,0.006832,2.130344,1200,60,8,9,circle+moving_avg
images/circle_rng12_N27_curv1_seed9.png,circle,12,27,1,curv1,100,2.0,44,2,3485.843,713459.511,0.331821,0.006292,0.076433,1200,60,8,9,circle+moving_avg
images/circle_rng12_N27_curv2_seed9.png,circle,12,27,1,curv2,100,2.0,80,5,3327.251,730985.302,0.114539,0.004933,0.024599,1200,60,8,9,circle+moving_avg
images/circle_rng25_N27_curv0_seed9.png,circle,25,27,1,curv0,100,2.0,0,0,4713.196,538242.555,406.017188,0.018392,12.311309,1200,60,8,9,circle+moving_avg
images/circle_rng25_N27_curv1_seed9.png,circle,25,27,1,curv1,100,2.0,44,2,4442.799,583403.080,2.230443,0.012614,0.323987,1200,60,8,9,circle+moving_avg
images/circle_rng25_N27_curv2_seed9.png,circle,25,27,1,curv2,100,2.0,80,5,3739.982,633587.913,0.726986,0.010843,0.101986,1200,60,8,9,circle+moving_avg
images/circle_rng45_N27_curv0_seed9.png,circle,45,27,1,curv0,100,2.0,0,0,6233.127,340837.115,13353.480399,0.067664,49.837577,1200,60,8,9,circle+moving_avg
images/circle_rng45_N27_curv1_seed9.png,circle,45,27,1,curv1,100,2.0,44,2,5507.409,351453.423,10.703419,0.020724,1.671789,1200,60,8,9,circle+moving_avg
images/circle_rng45_N27_curv2_seed9.png,circle,45,27,1,curv2,100,2.0,80,5,4224.352,392873.560,3.457708,0.019570,0.530798,1200,60,8,9,circle+moving_avg
